"parameter_values","Bias_sq","Variance","Test","Training"
"2",0.295532931838025,0.34667502155597,1.64220795339399,1.18932551266262
"4",0.0300170858260991,0.408694465627215,1.43871155145331,0.665366389236133
"6",0.0267598902020258,0.678204687889118,1.70496457809114,0.348799198981985
"8",0.0330702541034227,0.85388265864724,1.88695291275066,0.16448173186483
"10",0.0337736152188529,0.898543776447148,1.932317391666,0.106733811714927
"12",0.0344337022091713,0.910067088644635,1.94450079085381,0.0946551137050644
"14",0.0345252551088562,0.910792287720222,1.94531754282908,0.0915146289042291
"16",0.0345288688477552,0.910804745238973,1.94533361408673,0.0913804369625634
