"parameter_values","Bias_sq","Variance","Test","Training"
"2",1.65826018500208,0.0180435934837792,2.67630377848586,2.43298767834143
"15",0.00492195826500352,0.14489152486099,1.14981348312599,0.806776844276483
"28",0.00734282741159827,0.286327506043064,1.29367033345466,0.656729876080287
"41",0.0102529720177221,0.481635507691789,1.49188847970951,0.519123993202882
"54",0.0135899419829156,0.826655438244762,1.84024538022768,0.408071770871401
"67",0.0302795454363846,2.36020854641709,3.39048809185347,0.354880493046854
"80",0.0302795454363846,2.36020854641709,3.39048809185347,0.354880493046854
"93",0.0302795454363846,2.36020854641709,3.39048809185347,0.354880493046854
