"parameter_values","Bias_sq","Variance","Test","Training"
"1",3.37183777895133,100.099821961751,203.471659740702,0
"3",3.78851293654445,34.6381620382444,138.426674974789,66.4202917926341
"5",9.93650970039072,21.3183903865205,131.254900086911,82.6611509362475
"7",17.6521475496356,15.1742475463723,132.826395096008,94.1809734430847
"9",25.6353847272059,12.0539871025215,137.689371829727,103.600396038336
"11",34.4127738891298,9.94983046360796,144.362604352738,109.132324618481
"13",43.8201556934271,8.5728167190208,152.392972412448,116.126967643133
"15",55.2977310861497,7.4615960990509,162.759327185201,123.398029664728
