"parameter_values","Bias_sq","Variance","Test","Training"
"-4",0.376420419877758,7.55663318368856,107.933053603566,93.3830414793573
"-3",0.379214061409556,7.53700514563061,107.91621920704,93.3841626630484
"-2",0.410955606012321,7.35828034053673,107.769235946549,93.4040294749455
"-1",0.794401259962193,6.43365871131568,107.228059971278,93.8594780418761
"0",2.05403452424923,4.85139042927562,106.905424953525,95.8048945503296
"1",14.4538299380957,3.17602957802099,117.629859516117,107.442700275905
"2",225.261731633581,1.3216605909665,326.583392224547,276.667866610588
"3",519.612520294703,0.670038016924877,620.282558311628,514.671288676042
