"parameter_values","Bias_sq","Variance","Test","Training"
"2",0.343436275678545,0.185484143969041,1.52892041964759,1.32586981237862
"4",0.0178699469840478,0.191359876771577,1.20922982375562,0.873559233300285
"6",0.00908824701383458,0.406375754983015,1.41546400199685,0.623225570978531
"8",0.0126444700576659,0.628295350750213,1.64093982080788,0.390299450210654
"10",0.0157370407187146,0.779382417757872,1.79511945847659,0.230424597987277
"12",0.0168707605744384,0.871300038962187,1.88817079953663,0.13810051351826
"14",0.0177801663454731,0.905173085765431,1.9229532521109,0.101267621795173
"16",0.018575172311215,0.918396252130462,1.93697142444168,0.0896393914499184
