"parameter_values","Bias_sq","Variance","Test","Training"
"1",1.60403496370508,0.00576733491721694,2.6098022986223,2.39861910384742
"2",1.6118790848871,0.010695296637498,2.6225743815246,2.39341864160186
"3",1.58675611455626,0.0152876913045408,2.6020438058608,2.3728387063509
"4",0.572625713572791,0.0194894550738324,1.59211516864662,1.48252357146474
"5",0.108275949497417,0.0234813986079216,1.13175734810534,1.0984424397131
"6",0.0473891063029365,0.0265725649022746,1.07396167120521,1.03364483942394
"7",0.0027560772072076,0.0301260047638491,1.03288208197106,0.989137305794509
"8",0.00201677095159605,0.033354163400447,1.03537093435204,0.986118212851004
