"parameter_values","Bias_sq","Variance","Test","Training"
"-4",0.836197810678735,0.0181165382122773,1.85431434889101,1.71835259923002
"-3",1.28809997534712,0.0151959238717934,2.30329589921891,2.10538875415835
"-2",1.5514327564565,0.012046051193126,2.56347880764962,2.33611124005735
"-1",1.59169913151306,0.00889743390653901,2.60059656541959,2.38851331501757
"0",1.58561563681196,0.00565554427301652,2.59127118108498,2.4099789952644
"1",1.59456404894724,0.00324114331743069,2.59780519226467,2.45065843561143
"2",1.63384704536413,0.00255010777384895,2.63639715313798,2.50669504556202
"3",1.64362352100653,0.00253007258311763,2.64615359358964,2.51908449592042
