"parameter_values","Bias_sq","Variance","Test","Training"
"2",32.6264955184843,19.8273967854412,77.4538923039255,68.2554637403413
"4",0.412332342412325,6.67229257764982,32.0846249200621,22.3686827198592
"6",0.316792310185727,9.83833920104096,35.1551315112267,16.1398492092459
"8",0.474311871640316,14.1185126494455,39.5928245210858,11.1856420581809
"10",0.531949682008126,17.4312050419705,42.9631547239787,7.82028860819463
"12",0.585686257948181,19.8090202862777,45.3947065442259,5.4314879001673
"14",0.585742318469746,21.3224886479691,46.9082309664388,3.96139941331067
"16",0.596139551795002,22.2487076380711,47.8448471898661,3.07029101364627
