"parameter_values","Bias_sq","Variance","Test","Training"
"2",0.717040511521415,5.76802597568547e-05,0.727098191781172,0.647589813905658
"15",0.000512514936264537,0.000411375843660533,0.0109238907799251,0.0098607261473157
"28",0.000112226878344447,0.00074605068362298,0.0108582775619674,0.00905892329853468
"41",5.69374665984529e-05,0.00114502820267531,0.0112019656692738,0.00850404800998027
"54",4.60868167449257e-05,0.00159951287439539,0.0116455996911403,0.0080055721284535
"67",4.86513540340236e-05,0.00213390428618258,0.0121825556402166,0.00754364406047927
"80",5.96860466108575e-05,0.00281510736098631,0.0128747934075972,0.0071361204066775
"93",7.77630245727771e-05,0.00369538426012166,0.0137731472846944,0.00681909005169354
