"parameter_values","Bias_sq","Variance","Test","Training"
"1",1.64196309196336,0.000180435456968035,1.65214352742033,1.47939177636861
"2",1.64391564411123,0.000334700551084959,1.65425034466231,1.47916172882355
"3",1.62760325881224,0.000487257503344976,1.63809051631559,1.40810709237033
"4",0.590167283922021,0.00062523821724778,0.600792522139269,0.438598767469799
"5",0.11344128410618,0.000765538129603554,0.124206822235783,0.107352608003597
"6",0.0481179249571786,0.000924234499079423,0.059042159456258,0.0518151264892343
"7",0.00170097481105312,0.00107384234826801,0.0127748171593211,0.0101479408094977
"8",0.000984274833437499,0.00118477735986168,0.0121690521932992,0.00954946449887607
