"parameter_values","Bias_sq","Variance","Test","Training"
"-4",0.101941390927453,1.89004312373063,26.9919845146581,23.348064806586
"-3",0.104155777355789,1.88470843198712,26.9888642093429,23.3490572498237
"-2",0.131893978287379,1.8363186131879,26.9682125914753,23.3658590135462
"-1",0.533070312886991,1.59588857507194,27.1289588879589,23.7195346035054
"0",1.848579250284,1.20036389811219,28.0489431483962,25.0965976388146
"1",15.8978880423728,0.791919502206523,41.6898075445793,36.9276773210588
"2",238.199335205781,0.327656500076528,263.526991705858,213.045228202283
"3",524.045395442103,0.167206982140197,549.212602424243,442.026481920978
