"parameter_values","Bias_sq","Variance","Test","Training"
"2",30.9755520174301,26.8033680516672,82.7789200690973,65.0800460330944
"4",1.34609717330564,10.8186397306515,37.1647369039571,17.4082604994135
"6",1.60831577468772,15.6055478917732,42.2138636664609,10.3628226499875
"8",1.64074641933297,19.4640480296094,46.1047944489424,6.15213123113179
"10",1.71776793962711,21.4758814975608,48.193649437188,4.01753257474178
"12",1.71859576200105,22.5098957335132,49.2284914955142,3.04713921107747
"14",1.71783215954505,22.8141849136123,49.5320170731573,2.7071033006062
"16",1.71375521916956,22.9161302841247,49.6298855032943,2.61090190896137
