"parameter_values","Bias_sq","Variance","Test","Training"
"1",137.830343828056,0.451088642420093,163.281432470476,119.054303955687
"2",98.093475422369,0.836751377712399,123.930226800081,98.2126509678239
"3",0.0779238938985405,1.21814375836242,26.296067652261,23.9388141229035
"4",0.0889962834938707,1.56309554311954,26.6520918266134,23.6173902288045
"5",0.090458776450125,1.91384532400833,27.0043041004585,23.3448293871542
"6",0.0909636124959914,2.3105862476992,27.4015498601952,23.0126714712142
"7",0.089166932301691,2.68460587067157,27.7737728029733,22.6920425923933
"8",0.0901467652358058,2.96194339965759,28.0520901648934,22.4974581983649
