"parameter_values","Bias_sq","Variance","Test","Training"
"2",0.733696791348533,0.0180435934837783,1.75174038483231,1.58789421071603
"15",0.00553600683304802,0.14489152486099,1.15042753169404,0.806119894424682
"28",0.00778974004748392,0.286327506043064,1.29411724609055,0.656758061937241
"41",0.0103664917118317,0.481635507691789,1.49200199940362,0.519130661014502
"54",0.0136695418595613,0.826655438244762,1.84032498010432,0.408072442453428
"67",0.0303011493314626,2.36020854641709,3.39050969574855,0.354879970706337
"80",0.0303011493314626,2.36020854641709,3.39050969574855,0.354879970706337
"93",0.0303011493314626,2.36020854641709,3.39050969574855,0.354879970706337
