"parameter_values","Bias_sq","Variance","Test","Training"
"-4",0.0227901510634651,0.0734055687165304,1.09619571978,0.943251525767372
"-3",0.0292735674509032,0.0644933278789925,1.0937668953299,0.949424613081821
"-2",0.0490786564746314,0.0492473738561304,1.09832603033076,0.972365829036284
"-1",0.162890217336858,0.0336710896143206,1.19656130695118,1.08588769089873
"0",0.491854586868012,0.019121263107531,1.51097584997554,1.40938414433029
"1",0.802122360178669,0.0100758233316001,1.81219818351027,1.83162799830054
"2",1.26240698677842,0.00661276929387123,2.26901975607229,2.33879681565331
"3",1.36686518618619,0.00647548982903237,2.37334067601522,2.44731464734949
