"parameter_values","Bias_sq","Variance","Test","Training"
"1",134.299717706783,0.00299764631144932,135.302715353094,131.466199378115
"2",94.1841440981603,0.00540613595763134,95.189550234118,84.9912909361676
"3",0.000129367953556819,0.00812029270161962,1.00824966065518,1.01817602263967
"4",0.000137349626793541,0.0100875069110838,1.01022485653788,1.01641140094146
"5",0.000402512220817944,0.0127799033595209,1.01318241558034,1.01367480851958
"6",0.000475976601606294,0.0146860478735692,1.01516202447518,1.01200355200453
"7",0.000499884682273179,0.0169474497423484,1.01744733442462,1.01013602776197
"8",0.000533341202788205,0.0192789709109036,1.01981231211369,1.00845906841294
