"parameter_values","Bias_sq","Variance","Test","Training"
"-4",0.00732912456695757,0.0127739075681752,1.02010303213513,1.01775310055314
"-3",0.00885319994808988,0.0127283287929553,1.02158152874105,1.0188835219415
"-2",0.0302909172159014,0.0123432415185627,1.04263415873446,1.03627337428319
"-1",0.396143537463959,0.0104636754722555,1.40660721293621,1.37676888269197
"0",1.69538944505477,0.0077848534056524,2.70317429846043,2.80352216778504
"1",13.2837722257012,0.00514859845038399,14.2889208241516,13.8394142932892
"2",212.603385072096,0.00260799578356613,213.605993067879,205.209516308326
"3",515.736315789983,0.00168679493517502,516.738002584918,497.411178647833
