"parameter_values","Bias_sq","Variance","Test","Training"
"-4",0.94787516075058,0.00230245659601286,1.20017761734659,1.00648871231099
"-3",1.40339363163229,0.00188662125016855,1.65528025288246,1.29135228177105
"-2",1.56380749035581,0.00145846097942428,1.81526595133524,1.42608376593924
"-1",1.58656895099917,0.00108387880680446,1.83765282980597,1.47757893615112
"0",1.5805887704284,0.000741210862652864,1.83132998129105,1.49674049635367
"1",1.58858277617206,0.000484645025896849,1.83906742119796,1.5466215536794
"2",1.62427351258124,0.000415667517797599,1.87468918009904,1.60878820401474
"3",1.63224157894831,0.000413776009399003,1.88265535495771,1.62103087415411
