"parameter_values","Bias_sq","Variance","Test","Training"
"2",0.480934682033268,0.0188031782711416,0.509737860304409,0.431413163684737
"4",0.0515638442528723,0.0171961226993164,0.0787599669521888,0.0693307618683958
"6",0.00566983296338575,0.00755056212066798,0.0232203950840537,0.0134213183752942
"8",0.00157554641571641,0.00671814438408482,0.0182936907998012,0.00495769662255851
"10",0.00138229474546328,0.00801521868576896,0.0193975134312322,0.00257649563532885
"12",0.00141029622341327,0.00892563700563074,0.020335933229044,0.00161313202044239
"14",0.00141395796259133,0.0093586996032075,0.0207726575657988,0.00122520566710529
"16",0.00142123519127677,0.00950976687534668,0.0209310020666234,0.00108166323516714
