"parameter_values","Bias_sq","Variance","Test","Training"
"-4",0.956607354802401,9.09054258346431e-05,0.966698260228236,0.775373633538583
"-3",1.41393815019827,7.50672046970557e-05,1.42401321740297,1.06226714582991
"-2",1.56362312728454,5.7726065280112e-05,1.57368085334982,1.19109649625036
"-1",1.58523231637399,4.28251362353522e-05,1.59527514151022,1.24087850913426
"0",1.57928693336885,2.93325228448282e-05,1.58931626589169,1.25916135513236
"1",1.58947783606017,1.91808093014996e-05,1.59949701686947,1.31026215693664
"2",1.62428235037253,1.66184556473157e-05,1.63429896882818,1.36952102108503
"3",1.63165698128618,1.65509565918441e-05,1.64167353224277,1.3807219382693
