"parameter_values","Bias_sq","Variance","Test","Training"
"1",0.0236153257699012,0.250249554904377,0.523864880674278,0
"3",0.0201244546321956,0.0865954050956106,0.356719859727806,0.170349045052974
"5",0.0487656979730907,0.0532959759663015,0.352061673939392,0.23800574541446
"7",0.126159250944787,0.037935618865931,0.414094869810718,0.317623566149753
"9",0.220636537769794,0.0301349677563042,0.500771505526098,0.397948888122741
"11",0.326552783381675,0.0248745761590196,0.601427359540695,0.478321903308575
"13",0.433261212199195,0.0214320417975515,0.704693253996747,0.558654564148698
"15",0.544800158517248,0.0186539902476275,0.813454148764875,0.642327960423326
