"parameter_values","Bias_sq","Variance","Test","Training"
"2",42.4206714542037,7.36133145032087,50.7820029045245,48.7249718945713
"4",1.82247070765165,2.71437252215286,5.53684322980451,3.83414972606819
"6",0.188013489168689,0.559709631469489,1.74772312063818,0.73493162667227
"8",0.185175040299415,0.640911827165156,1.82608686746457,0.454881548787973
"10",0.18738071092023,0.753827990394942,1.94120870131517,0.320838369597817
"12",0.188400679891952,0.834352126827213,2.02275280671916,0.238627658853914
"14",0.188932789466144,0.895333737240276,2.08426652670642,0.182570591247875
"16",0.189811587602467,0.930759395867698,2.12057098347016,0.15003470240138
