"parameter_values","Bias_sq","Variance","Test","Training"
"1",137.879316752756,0.00576733491721325,138.885084087673,106.420983790561
"2",96.2205138550419,0.0106952966375215,97.2312091516794,78.553592092786
"3",0.000628177815330069,0.0152876913045551,1.01591586911989,1.00096624888885
"4",0.000792331571322785,0.0194894550738276,1.02028178664515,0.997551836016324
"5",0.000881637592364031,0.0234813986079213,1.02436303620029,0.994413246447137
"6",0.000966556025588364,0.0265725649022681,1.02753912092786,0.99129438610504
"7",0.000970796585276022,0.030126004763815,1.03109680134909,0.988182933774458
"8",0.00099677572502561,0.0333541634004834,1.03435093912551,0.985583630995182
