"parameter_values","Bias_sq","Variance","Test","Training"
"1",0.00664275775896462,0.250249554904378,0.506892312663342,0
"3",0.00645113466004674,0.0865954050956109,0.343046539755658,0.164612189826541
"5",0.00817164451388702,0.0532959759663013,0.311467620480188,0.198616011337351
"7",0.0144424288529983,0.0379356188659309,0.302378047718929,0.220372235327102
"9",0.0227750310215958,0.0301349677563039,0.3029099987779,0.235809294494651
"11",0.0342669187558435,0.0248745761590197,0.309141494914863,0.247531032916613
"13",0.0432424358179036,0.0214320417975509,0.314674477615454,0.257158644737531
"15",0.0548259691929947,0.0186539902476279,0.323479959440623,0.268807962915705
