"parameter_values","Bias_sq","Variance","Test","Training"
"2",0.716353296831847,0.000749417486319449,0.967102714318166,0.866952639311315
"15",0.000815803708476666,0.00597292957736156,0.256788733285838,0.247521186935466
"28",0.000499391602093458,0.0112941680924429,0.261793559694536,0.239028680074703
"41",0.00054245973513472,0.0171463738693883,0.267688833604523,0.230890251684275
"54",0.000622721038644588,0.0235317155499939,0.274154436588638,0.223296738126435
"67",0.000729361147336237,0.0305022692208175,0.281231630368154,0.216091157155677
"80",0.000872049846189524,0.0385127508311052,0.289384800677295,0.209372146165004
"93",0.00104547689539392,0.0481657235665862,0.29921120046198,0.203393934118818
