"parameter_values","Bias_sq","Variance","Test","Training"
"-4",0.018898935685035,0.0030032415690592,0.271902177254094,0.268958920729704
"-3",0.0255033340407729,0.00248203223459127,0.277985366275364,0.276717311357393
"-2",0.0466097574255614,0.00197144004356652,0.298581197469128,0.298531874029362
"-1",0.204599396688548,0.00134877397602555,0.455948170664574,0.436831063350733
"0",0.525267478918423,0.000829071322048103,0.776096550240472,0.748135916131303
"1",0.894230564203907,0.000517536366062265,1.14474810056997,1.15798435108994
"2",1.28902586486124,0.000416619055675654,1.53944248391692,1.58093674926284
"3",1.36560801596675,0.000413765133929979,1.61602178110068,1.66215980266508
