"parameter_values","Bias_sq","Variance","Test","Training"
"2",1.60114543484681,0.00144200649392245,1.85258744134074,1.65167963666507
"15",0.00127236869229652,0.0102843960915117,0.261556764783808,0.239159989357873
"28",0.000630931230621765,0.018651267090574,0.269282198321196,0.225406639792357
"41",0.000774217899638555,0.0286257050668823,0.279399922966521,0.21230558119008
"54",0.000913220413866153,0.0399878218598842,0.29090104227375,0.200061255530846
"67",0.00111631164206537,0.0533476071545644,0.30446391879663,0.188584328682983
"80",0.00143435007644279,0.0703776840246607,0.321812034101103,0.1784111234777
"93",0.00188956158787854,0.0923846065030406,0.344274168090919,0.170480761227393
