"parameter_values","Bias_sq","Variance","Test","Training"
"1",1.60217029586063,0.00144183372930424,1.85361212958993,1.65285724449418
"2",1.6081130785579,0.00267382415937451,1.86078690271727,1.65108717248147
"3",1.58343772192006,0.00382192282613521,1.8372596447462,1.63497364318781
"4",0.574280889450069,0.00487236376845813,0.829153253218527,0.739384220516399
"5",0.108377399261701,0.00587034965198004,0.364247748913681,0.350804090897659
"6",0.0463314685179933,0.00664314122556929,0.302974609743563,0.289714178940412
"7",0.00190650530402753,0.007531501190966,0.259438006494994,0.248169366191058
"8",0.00120838755612172,0.00833854085011078,0.259546928406233,0.247027802376753
