"parameter_values","Bias_sq","Variance","Test","Training"
"2",0.391090607005646,0.101073873744729,0.742164480750375,0.631878189597146
"4",0.0269051244751246,0.0691464770111841,0.346051601486309,0.251333376430755
"6",0.00379489766368281,0.103732102159151,0.357526999822834,0.1565660282282
"8",0.00446342483779513,0.164062928568596,0.418526353406391,0.0901754848990491
"10",0.00509185316446802,0.203727066848152,0.45881892001262,0.0492718632548237
"12",0.00548513987543359,0.221895033359391,0.477380173234825,0.0311678512746823
"14",0.00568014442204131,0.227721373018054,0.483401517440095,0.0247728195102279
"16",0.005833489910083,0.229505549140161,0.485339039050244,0.0231052940152496
