"parameter_values","Bias_sq","Variance","Test","Training"
"-4",0.0654636081121868,1.25610203108861,101.321565639201,101.371961664425
"-3",0.0686533701041354,1.25205414368321,101.320707513787,101.372916377597
"-2",0.102681851579431,1.21542669867118,101.318108550251,101.387304784401
"-1",0.465509678593931,1.0385906068979,101.504100285492,101.678872173761
"0",1.67006230903563,0.78777519096807,102.457837500004,103.078359049014
"1",11.7063463486634,0.520319413832022,112.226665762495,113.045512133703
"2",198.270466453041,0.264599545961224,298.535065999003,293.148725179927
"3",509.949565308853,0.168968567306636,610.11853387616,594.415318865241
