"parameter_values","Bias_sq","Variance","Test","Training"
"2",0.10225701647076,0.0751609455784943,1.17741796204925,1.11823144183859
"4",0.00743607088386897,0.114249030947192,1.12168510183106,0.923017482272197
"6",0.00641292075230867,0.268272776404626,1.27468569715693,0.766574308006975
"8",0.0084114374636299,0.439614729252759,1.44802616671639,0.590596708574757
"10",0.0130399450074004,0.610437837345193,1.62347778235259,0.425952931407208
"12",0.0146933050332395,0.731951232244622,1.74664453727786,0.30046517507213
"14",0.0158703019028744,0.815979613165712,1.83184991506859,0.210278269197213
"16",0.0164826113561283,0.867865226810215,1.88434783816634,0.154970915490638
