"parameter_values","Bias_sq","Variance","Test","Training"
"2",0.718925739008978,0.00576802597568908,1.72469376498467,1.64631613779963
"15",0.00187063538185334,0.0411375843660465,1.0430082197479,0.954969433355251
"28",0.00254910511069132,0.0746050683622961,1.07715417347299,0.901584089729165
"41",0.00313799906573896,0.114502820267529,1.11764081933327,0.849217913456412
"54",0.0036657000926975,0.159951287439537,1.16361698753223,0.800234446042574
"67",0.00446589573847479,0.213390428618257,1.21785632435673,0.754325195904854
"80",0.00573189141670157,0.281510736098642,1.28724262751534,0.713636667267616
"93",0.00755041245765093,0.369538426012163,1.37708883846981,0.681920821069319
