"parameter_values","Bias_sq","Variance","Test","Training"
"1",0.019788205480115,1.01210261157619,2.03189081705631,0
"3",0.00734182104723543,0.330785691569678,1.33812751261691,0.692438404651875
"5",0.00471885384859599,0.200061616924109,1.2047804707727,0.819311802842947
"7",0.00447750788358825,0.142418850973708,1.1468963588573,0.874363205120207
"9",0.00447083652352395,0.109837667980638,1.11430850450416,0.904950467159802
"11",0.00474871100953512,0.0901572699788861,1.09490598098842,0.926473340870402
"13",0.00532193839736124,0.0756182462403736,1.08094018463773,0.940703444731166
"15",0.00611723998197096,0.0657527084478549,1.07186994842983,0.948489220144308
